Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,No of Trades
RELCAPITAL,EQ,12-Sep-17,773.95,778,779.3,768.1,775,775.3,"19,28,017","1,49,27,23,334.00","36,265"
RELCAPITAL,EQ,13-Sep-17,775.3,775.9,776.3,750,754,754.3,"33,57,935","2,56,39,70,344.35","46,317"
RELCAPITAL,EQ,14-Sep-17,754.3,755,762.2,739.5,751.3,748.55,"26,75,925","2,00,54,57,151.05","53,958"
RELCAPITAL,EQ,15-Sep-17,748.55,745.9,758.7,741.35,754.55,752.95,"28,78,121","2,16,46,56,006.45","47,128"
RELCAPITAL,EQ,18-Sep-17,752.95,757,768.5,754.55,767.2,765.55,"19,90,020","1,51,52,04,480.90","36,388"
RELCAPITAL,EQ,19-Sep-17,765.55,765,765,750.1,753.25,753.2,"19,24,090","1,45,56,64,464.00","42,745"
RELCAPITAL,EQ,20-Sep-17,753.2,755.2,757.1,744,746.5,745.4,"15,60,953","1,16,94,67,955.30","28,694"
RELCAPITAL,EQ,21-Sep-17,745.4,740,742.7,711.3,720.15,717.9,"40,84,091","2,94,70,96,565.25","71,509"
M&M,EQ,02-May-17,"1,335.55","1,333.10","1,352.75","1,326.30","1,340.00","1,340.95","8,17,189","1,09,57,16,677.40","26,486"
M&M,EQ,03-May-17,"1,340.95","1,342.00","1,354.20","1,333.95","1,337.10","1,348.65","9,05,792","1,22,02,62,474.75","26,893"
M&M,EQ,04-May-17,"1,348.65","1,341.00","1,351.00","1,329.65","1,332.55","1,334.90","7,39,877","99,16,18,480.80","32,725"
M&M,EQ,05-May-17,"1,334.90","1,331.00","1,331.00","1,307.00","1,318.50","1,321.25","8,95,667","1,18,22,20,473.25","48,581"
M&M,EQ,08-May-17,"1,321.25","1,322.50","1,345.70","1,313.00","1,332.25","1,333.35","5,79,715","77,26,57,371.10","21,145"
M&M,EQ,09-May-17,"1,333.35","1,335.70","1,351.90","1,328.65","1,341.75","1,343.65","5,91,559","79,42,25,255.75","44,430"
M&M,EQ,10-May-17,"1,343.65","1,352.00","1,379.70","1,348.00","1,373.90","1,376.40","10,70,862","1,46,83,33,839.45","67,055"
